,ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
0,ID00393,15-Jul,West,Fairfield,Prepared and preserved foods,Carrot,263.0,2.0,679.0
1,ID07570,22-May,South,Alexandria,Bars,Carrot,204.0,2.0,624.0
2,ID07553,7-Oct,South,Richmond,Snacks,Potato Chips,110.0,3.0,500.0
3,ID07475,13-Jan,South,Richmond,Snacks,Pretzels,285.0,3.0,753.0
4,ID00233,19-May,South,Fayetteville,Bars,Banana,72.0,1.0,194.0
5,ID07583,17-Aug,South,Atlanta,Cookies,Arrowroot,138.0,3.0,573.0
6,ID07502,7-Sep,West,Stockton,Bars,Bran,271.0,2.0,751.0
7,ID00131,24-Jun,South,Jackson,Snacks,Pretzels,150.0,2.0,288.0
8,ID07487,21-Dec,Midwest,Toledo,Crackers,Whole Wheat,190.0,1.0,84.0
9,ID00480,15-Jun,West,Nampa,Beverages,Carrot,297.0,2.0,789.0
10,ID07479,1-Sep,West,Oakland,Bars,Carrot,85.0,2.0,246.0
11,ID00235,13-Jan,West,Torrance,Snacks,Pretzels,97.0,2.0,440.0
12,ID07390,4-Sep,South,Charlotte,Cookies,Chocolate Chip,82.0,3.0,402.0
13,ID07555,22-May,South,Pembroke Pines,Bars,Carrot,122.0,3.0,396.0
14,ID07434,19-Sep,West,Scottsdale,Bars,Carrot,188.0,1.0,312.0
15,ID07443,10-Sep,South,Montgomery,Bars,Carrot,143.0,3.0,89.0
16,ID00428,21-Jun,West,Goodyear,Bread and bakery products,Carrot,282.0,2.0,530.0
17,ID00438,18-Jun,West,Longmont,Prepared and preserved foods,Carrot,193.0,2.0,332.0
18,ID00400,22-Feb,South,High Point,Bread and bakery products,Carrot,125.0,1.0,220.0
19,ID07461,13-Sep,Midwest,Madison,Crackers,Whole Wheat,221.0,1.0,563.0
20,ID00498,31-Jan,West,Santa Maria,Prepared and preserved foods,Carrot,57.0,2.0,123.0
21,ID07449,7-Sep,Midwest,Toledo,Snacks,Potato Chips,54.0,3.0,434.0
22,ID07421,22-May,West,Oakland,Bars,Carrot,243.0,3.0,550.0
23,ID00280,6-Feb,South,Allen,Snacks,Pretzels,245.0,2.0,759.0
24,ID07514,6-Feb,West,Sunnyvale,Bars,Banana,188.0,3.0,652.0
25,ID00430,15-Jul,West,Hillsboro,Bars,Banana,195.0,1.0,758.0
26,ID00380,21-Feb,South,Coral Springs,Prepared and preserved foods,Carrot,252.0,1.0,594.0
27,ID00424,16-Feb,South,Pearland,Snacks,Pretzels,105.0,2.0,249.0
28,ID07485,22-Apr,West,Denver,Prepared and preserved foods,Carrot,69.0,1.0,77.0
29,ID00417,14-Mar,West,Arvada,Beverages,Carrot,112.0,1.0,127.0
30,ID07361,14-Aug,Northeast,New York,Bars,Carrot,190.0,2.0,142.0
31,ID00075,21-Dec,South,Huntsville,Bars,Bran,185.0,2.0,707.0
32,ID00025,3-Feb,West,Tacoma,Cookies,Oatmeal Raisin,247.0,1.0,513.0
33,ID00261,21-Nov,South,Fayetteville,Beverages,Carrot,148.0,1.0,270.0
34,ID00038,16-Oct,West,Oxnard,Crackers,Whole Wheat,34.0,2.0,59.0
35,ID00038,20-Jan,West,Torrance,Bars,Carrot,68.0,3.0,370.0
36,ID00419,28-Sep,West,Las Cruces,Snacks,Pretzels,234.0,1.0,488.0
37,ID07494,11-Jan,South,Laredo,Bars,Carrot,40.0,3.0,315.0
38,ID00420,4-Apr,South,Tyler,Snacks,Pretzels,162.0,3.0,788.0
39,ID00285,5-Mar,West,Richmond,Bars,Banana,72.0,1.0,116.0
40,ID00028,11-Jan,Midwest,Grand Rapids,Snacks,Potato Chips,32.0,2.0,73.0
41,ID00443,7-Jan,South,South Fulton,Prepared and preserved foods,Carrot,109.0,1.0,375.0
42,ID00161,7-Apr,Northeast,Bridgeport,Snacks,Potato Chips,138.0,2.0,409.0
43,ID00223,19-Apr,West,Billings,Cookies,Arrowroot,272.0,2.0,743.0
44,ID00201,18-Jun,South,Jackson,Bars,Bran,147.0,2.0,533.0
45,ID00482,12-Dec,Midwest,South Bend,Bars,Banana,250.0,2.0,594.0
46,ID00007,25-Jan,South,Newport News,Beverages,Carrot,83.0,1.0,180.0
47,ID00058,5-Aug,Midwest,Akron,Crackers,Whole Wheat,125.0,2.0,231.0
48,ID07489,29-Jan,West,Colorado Springs,Cookies,Chocolate Chip,214.0,2.0,655.0
49,ID07419,26-Aug,West,Tucson,Cookies,Oatmeal Raisin,192.0,2.0,398.0
50,ID07529,24-Jun,South,Clarksville,Bars,Bran,38.0,1.0,46.0
51,ID00223,13-Oct,South,Midland,Snacks,Potato Chips,285.0,2.0,797.0
52,ID00414,10-May,West,Temecula,Snacks,Pretzels,108.0,2.0,227.0
53,ID00243,30-Jun,West,Scottsdale,Bars,Bran,252.0,3.0,528.0
54,ID00276,6-Feb,West,Fullerton,Bread and bakery products,Carrot,91.0,1.0,233.0
55,ID00135,28-May,Midwest,Dayton,Bars,Bran,125.0,2.0,392.0
56,ID00235,1-May,South,Chattanooga,Prepared and preserved foods,Carrot,44.0,2.0,110.0
57,ID07434,18-Feb,West,Gilbert,Cookies,Arrowroot,229.0,1.0,382.0
58,ID00350,18-Nov,Northeast,Edison,Snacks,Potato Chips,207.0,1.0,606.0
59,ID00080,12-Dec,West,Aurora,Cookies,Arrowroot,157.0,2.0,391.0
60,ID00165,25-Oct,West,Gilbert,Bars,Bran,56.0,1.0,54.0
